Time,MeasSampleRate,ValidSamples D-RT,ValidSamples D-LT,ValidSamples A1,ValidSamples A2,ValidSamples D-RB,ValidSamples D-LB,ValidSamples_6,ValidSamples B1CW,MeasAGCLevel D-RT_A,MeasAGCLevel D-RT_B,MeasAGCLevel D-LT_A,MeasAGCLevel D-LT_B,MeasAGCLevel A1_A,MeasAGCLevel A1_B,MeasAGCLevel A2_A,MeasAGCLevel A2_B,MeasAGCLevel D-RB_A,MeasAGCLevel D-RB_B,MeasAGCLevel D-LB_A,MeasAGCLevel D-LB_B,MeasAGCLevel_6_A,MeasAGCLevel_6_B,MeasAGCLevel B1CW_A,MeasAGCLevel B1CW_B,SNR D-RT_A,SNR D-RT_B,SNR D-LT_A,SNR D-LT_B,SNR A1_A,SNR A1_B,SNR A2_A,SNR A2_B,SNR D-RB_A,SNR D-RB_B,SNR D-LB_A,SNR D-LB_B,SNR_6_A,SNR_6_B,SNR B1CW_A,SNR B1CW_B,MeasVOS[m/s],MeasVLine[m/s],MeasPressure[bar-a],MeasTemperature[°C],MeasQLine[m³/hr],MeasQBase,MeasStability,MeasPathVOS D-RT[m/s],MeasPathVOS D-LT[m/s],MeasPathVOS A1[m/s],MeasPathVOS A2[m/s],MeasPathVOS D-RB[m/s],MeasPathVOS D-LB[m/s],MeasPathVOS_6[m/s],MeasPathVOS B1CW[m/s],MeasPathVOG D-RT[m/s],MeasPathVOG D-LT[m/s],MeasPathVOG A1[m/s],MeasPathVOG A2[m/s],MeasPathVOG D-RB[m/s],MeasPathVOG D-LB[m/s],MeasPathVOG_6[m/s],MeasPathVOG B1CW[m/s],METERTYPE_T,DataSequence,FwdVolume[m³],RevVolume[m³],TSpare,MeasDiagBits D-RT,MeasDiagBits D-LT,MeasDiagBits A1,MeasDiagBits A2,MeasDiagBits D-RB,MeasDiagBits D-LB,MeasDiagBits_6,MeasDiagBits B1CW,MeasPathPerformance D-RT[%],MeasPathPerformance D-LT[%],MeasPathPerformance A1[%],MeasPathPerformance A2[%],MeasPathPerformance D-RB[%],MeasPathPerformance D-LB[%],VOGRatio D-RT,VOGRatio D-LT,VOGRatio A1,VOGRatio A2,VOGRatio D-RB,VOGRatio D-LB,VOSRatio D-RT,VOSRatio D-LT,VOSRatio A1,VOSRatio A2,VOSRatio D-RB,VOSRatio D-LB,OperationalStatus,Swirl Angle[°],Internal Temp[°C],TransitTimeStDAB_1[s],TransitTimeStDAB_2[s],TransitTimeStDAB_3[s],TransitTimeStDAB_4[s],TransitTimeStDAB_5[s],TransitTimeStDAB_6[s],TransitTimeStDAB_7[s],TransitTimeStDAB_8[s],TransitTimeStDBA_1[s],TransitTimeStDBA_2[s],TransitTimeStDBA_3[s],TransitTimeStDBA_4[s],TransitTimeStDBA_5[s],TransitTimeStDBA_6[s],TransitTimeStDBA_7[s],TransitTimeStDBA_8[s],DSPSampleRate_1[s],DSPSampleRate_2[s],DSPSampleRate_3[s],DSPSampleRate_4[s],DSPSampleRate_5[s],DSPSampleRate_6[s],DSPSampleRate_7[s],DSPSampleRate_8[s],TTimeAB_1[s],TTimeAB_2[s],TTimeAB_3[s],TTimeAB_4[s],TTimeAB_5[s],TTimeAB_6[s],TTimeAB_7[s],TTimeAB_8[s],TTimeBA_1[s],TTimeBA_2[s],TTimeBA_3[s],TTimeBA_4[s],TTimeBA_5[s],TTimeBA_6[s],TTimeBA_7[s],TTimeBA_8[s],Density[kg/m²],Viscosity[Pa s]
7/9/2019 10:23,50,3,2,2,1,2,2,1,1,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,13.07,15.91,13.25,14,14.16,15.5,10.8,12,19.53,15.8,12.53,19.67,10.85,15.04,8.85,10.01,376.389282,23.34457,50.246134,3.67847,2382.78833,0,0,376.648743,376.691772,376.461334,376.69989,376.585999,375.248016,375.772034,336.478821,21.547995,21.69313,24.308636,24.182108,21.60207,19.62715,24.991695,-51.951843,74,2849,7716,3,0,0,0,0,4,0,0,84,69,100,100,100,50,100,100,0.967031,0.974815,1.118642,1.111525,0.969929,0.865899,1.000827,1.000965,1.00023,1.000991,1.000627,0.996364,16,-0.775093,27.295213,32,10,0,0,40,23,0,0,15,49,0,0,6,44,0,0,3,2,2,2,2,2,3,3,0.00045,0.000449,0.000634,0.000636,0.000449,0.00045,0,0,0.000484,0.000484,0.000687,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,2,2,2,2,3,3,2,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,13.21,19.26,13.4,18.19,10.63,15.29,11.63,13.92,16.15,18.35,14.06,20.66,10.86,10.45,6.08,8.08,376.55545,23.538937,50.246134,3.67847,2402.627441,0,0,376.243805,376.677216,376.498474,376.504852,376.766266,376.642212,375.758392,336.478821,21.394003,21.61655,24.142488,24.27635,21.532848,21.509325,25.06665,-51.951843,74,2850,7717,3,0,0,4,4,0,0,0,0,2068,100,66.666672,66.666672,66.666672,100,100,0.945988,0.957713,1.094113,1.101516,0.953298,0.952058,0.999007,1.000388,0.999818,0.999839,1.000672,1.000276,16,-0.772216,27.299339,48,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,3,3,3,3,3,2,2,0.00045,0.000449,0.000633,0.000633,0.00045,0.000453,0.001442,0.001791,0.000484,0.000484,0.000688,0.000687,0.000484,0.000484,0.001535,0.00155,55,0.000013
7/9/2019 10:23,50,3,3,3,3,3,2,0,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,17.1,17.03,12.89,13.68,10.13,14.08,11.52,16.96,15.57,17.01,14.87,15.1,8.26,9.35,3.07,0.05,376.596344,23.514187,50.246134,3.67847,2400.101074,0,0,376.696594,376.601593,376.408356,376.486328,376.722839,376.662476,375.758392,336.478821,21.639292,21.597868,23.917377,24.248648,21.391771,21.707754,25.06665,-51.951843,74,2851,7717,3,0,0,0,0,0,0,0,2120,2116,100,100,100,100,100,100,0.958649,0.956463,1.081399,1.099671,0.94561,0.962266,1.000319,1.000017,0.999401,0.999649,1.000403,1.000211,16,-0.768695,27.306427,0,0,0,0,14,9,0,0,0,0,0,0,47,11,0,0,3,3,3,3,3,2,3,3,0.00045,0.00045,0.000633,0.000633,0.00045,0.00045,0.001442,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0.001535,0,55,0.000013
7/9/2019 10:23,50,2,2,2,2,2,2,0,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,12.77,16.69,13.46,16.81,7.66,12.65,15.25,17.44,15.47,18.15,12.44,16.21,6.38,2.08,10.06,10.16,375.855682,22.028502,50.246134,3.67847,2248.456787,0,0,376.774231,375.163696,376.518646,374.583374,375.212372,376.881714,375.758392,336.478821,21.182968,19.675077,23.617182,21.153627,19.283772,21.40929,25.06665,-51.951843,74,2852,7718,3,0,0,0,0,0,0,0,2112,264261,100,100,100,100,100,66.666672,1.00738,0.922441,1.149761,1.005704,0.90079,1.020339,1.002934,0.997791,1.002117,0.995941,0.997947,1.003278,16,-0.765036,27.306994,16,17,12,34,41,0,0,0,14,14,12,14,42,0,0,0,2,2,2,2,2,3,2,2,0.00045,0.00045,0.000634,0.000633,0.00045,0.00045,0,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,3,3,2,2,3,3,1,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,13.69,16.15,15.12,16.54,9.46,13.26,9.09,11.96,16.87,16.89,12.71,17.92,14.89,8.51,8.33,0,376.38205,23.032101,50.246134,3.67847,2350.894531,0,0,376.568512,376.416748,376.437714,375.646057,376.637604,376.585571,377.30777,336.478821,21.468376,21.391201,24.033981,22.582184,21.490025,21.264771,21.8752,-51.951843,74,2853,7719,3,0,0,0,0,4,0,0,69,264276,100,100,66.666672,66.666672,100,100,0.969121,0.964964,1.110663,1.029755,0.970287,0.958168,1.000594,1.000111,1.000178,0.997654,1.000815,1.000649,16,-0.761022,27.306994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0.00045,0.000453,0.000634,0.00064,0.000453,0.000449,0,0,0.000483,0.000484,0.000687,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,2,2,1,2,2,2,1,1,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,13.29,16.67,15.68,16.36,12.16,20.36,11.55,10.52,15.25,17.46,17.56,20.01,7.95,12.72,5.46,8.53,376.397949,23.138412,50.246134,3.67847,2361.745605,0,0,376.641571,376.548065,376.417267,376.437531,376.86026,375.483063,374.965057,375.749146,21.306431,21.580326,23.745678,24.043737,21.673357,19.672823,23.045948,24.878593,74,2854,7719,3,0,0,0,4,0,0,0,21,1,100,100,50,100,100,100,0.962212,0.976998,1.096528,1.113356,0.982037,0.875519,1.000777,1.000479,1.000062,1.000126,1.001474,0.997085,16,-0.75695,27.301261,27,53,0,0,19,28,0,0,20,9,0,0,47,52,0,0,2,2,2,2,2,2,3,2,0.00045,0.00045,0.000634,0.000636,0.00045,0.00045,0.001442,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0.001522,0,55,0.000013
7/9/2019 10:23,50,3,2,3,2,3,3,0,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,14.44,16.18,13.47,15.85,10.35,13.02,11.23,12.59,15.47,16.33,14.7,18.57,8.55,6.33,4.65,9.18,376.590118,23.291475,50.246134,3.67847,2377.368896,0,0,376.542175,376.644958,376.427734,376.599854,376.693176,376.632721,374.965057,375.749146,21.107409,21.682972,23.80545,23.762033,21.443853,21.551128,23.045948,24.878593,74,2855,7720,3,0,0,4,0,1,0,0,2112,2053,100,66.666672,100,66.666672,100,100,0.940235,0.970851,1.086537,1.084125,0.958093,0.96381,0.999847,1.000175,0.999483,1.000031,1.000328,1.000136,16,-0.753019,27.303844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,3,0.00045,0.00045,0.000634,0.000634,0.000449,0.000452,0.001449,0.001443,0.000484,0.000484,0.000687,0.000688,0.000484,0.000484,0.001534,0.001535,55,0.000013
7/9/2019 10:23,50,3,3,2,3,3,2,0,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,31.2,36.2,13.3,15.68,15.14,18.01,12.09,15.12,12.84,14.81,11.39,16.97,16.22,17.01,10.18,9.65,5.62,8.83,376.543793,23.440985,50.246134,3.67847,2392.629395,0,0,376.435699,376.539063,376.576843,376.469147,376.550262,376.69165,374.965057,375.749146,21.337648,21.656336,23.993673,24.134632,21.341423,21.525419,23.045948,24.878593,74,2856,7720,3,0,0,0,0,0,0,0,2116,264261,100,100,66.666672,100,100,66.666672,0.947065,0.963937,1.090667,1.098482,0.947264,0.956994,0.999656,0.999985,1.000105,0.999762,1.000021,1.000471,16,-0.749416,27.313987,41,0,17,0,43,39,0,0,26,0,58,0,12,42,0,0,3,3,3,3,3,3,3,3,0.00045,0.00045,0.000634,0.000634,0.00045,0.00045,0,0,0.000484,0.000484,0.000688,0.000687,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,2,3,1,1,3,3,0,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,15.77,16.12,16.58,15.97,9.14,10.28,9.12,14.23,14,17.58,15.67,18.01,0,11.34,0,6.51,376.261688,22.673492,50.246134,3.67847,2314.29126,0,0,376.420349,376.65625,374.763947,376.414368,376.685272,376.629883,374.965057,375.749146,21.522547,21.619375,20.964907,23.831469,21.605085,21.565655,23.045948,24.878593,74,2857,7721,3,0,0,0,4,0,0,0,2069,2129,66.666672,100,33.333336,33.333336,100,100,0.981989,0.987279,0.951703,1.110739,0.986498,0.984343,1.000506,1.001259,0.995227,1.000487,1.001351,1.001174,16,-0.745834,27.311499,50,22,0,11,41,0,0,0,21,38,0,37,7,0,0,0,3,3,3,3,3,3,3,3,0.00045,0.00045,0.000633,0.000633,0.00045,0.00045,0,0,0.000484,0.000484,0.000688,0.000688,0.000484,0.000484,0,0,55,0.000013
7/9/2019 10:23,50,3,3,2,3,3,3,0,0,31.2,34.2,31.2,34.2,30.2,35.2,31.2,35.2,30.2,33.2,31.2,34.2,31.2,36.2,32.2,36.2,14.34,16.25,18.65,15.59,12.34,14.84,11.2,13.62,16.33,16.19,10.92,19.54,8.8,8.5,6.25,3.95,376.194092,22.636225,50.23404,3.649981,2310.487305,0,0,376.297363,376.566559,374.541962,376.414551,376.578613,376.765503,374.965057,375.749146,21.351013,21.525537,20.941097,23.909971,21.446228,21.610712,23.045948,24.878593,74,2858,7722,3,0,0,0,4,0,0,0,2117,264260,100,100,66.666672,100,100,100,0.975524,0.985069,0.953225,1.118599,0.980728,0.989738,1.000329,1.001188,0.994735,1.000703,1.001227,1.001823,16,-0.741574,27.311499,0,47,0,0,21,18,0,0,0,30,0,0,6,31,0,0,3,3,3,3,3,3,3,3,0.00045,0.00045,0.000639,0.000634,0.00045,0.00045,0,0,0.000484,0.000484,0.000687,0.000688,0.000484,0.000484,0,0,55,0.000013
