Param Name,Param Value,Param Unit
Meter name,68,DEFAULT
Customer ID,,DEFAULT
Serial Number,0,DEFAULT
Diameter,0.1464,m
Serial Number,0,DEFAULT
Path Length B1CW,0.55806,m
Path Length D-RT,0.17541,m
Path Length D-LT,0.17541,m
Path Length A1,0.24803,m
Path Length A2,0.24803,m
Path Length D-RB,0.17541,m
Path Length D-LB,0.17541,m
Path Length {PathLabel 17},0.55806,m
Path Angle B1CW,62.2,°
Path Angle D-RT,50,°
Path Angle D-LT,50,°
Path Angle A1,50,°
Path Angle A2,50,°
Path Angle D-RB,50,°
Path Angle D-LB,50,°
Path Angle B1-CCW,62.2,°
Detection Method B1CW,0,DEFAULT
Detection Method D-RT,0,DEFAULT
Detection Method D-LT,0,DEFAULT
Detection Method A1,0,DEFAULT
Detection Method A2,0,DEFAULT
Detection Method D-RB,0,DEFAULT
Detection Method D-LB,0,DEFAULT
Detection Method B1-CCW,0,DEFAULT
Detection Threshold B1CW,145,%
Detection Threshold D-RT,145,%
Detection Threshold D-LT,145,%
Detection Threshold A1,145,%
Detection Threshold A2,145,%
Detection Threshold D-RB,145,%
Detection Threshold D-LB,145,%
Detection Threshold B1-CCW,145,%
Detection Criteria B1CW,200,%
Detection Criteria D-RT,200,%
Detection Criteria D-LT,200,%
Detection Criteria A1,200,%
Detection Criteria A2,200,%
Detection Criteria D-RB,200,%
Detection Criteria D-LB,200,%
Detection Criteria B1-CCW,200,%
Invert Signals B1CW,0,DEFAULT
Invert Signals D-RT,0,DEFAULT
Invert Signals D-LT,0,DEFAULT
Invert Signals A1,0,DEFAULT
Invert Signals A2,0,DEFAULT
Invert Signals D-RB,0,DEFAULT
Invert Signals D-LB,0,DEFAULT
Invert Signals B1-CCW,0,DEFAULT
Zero Cross B1CW,1,DEFAULT
Zero Cross D-RT,1,DEFAULT
Zero Cross D-LT,1,DEFAULT
Zero Cross A1,1,DEFAULT
Zero Cross A2,1,DEFAULT
Zero Cross D-RB,1,DEFAULT
Zero Cross D-LB,1,DEFAULT
Zero Cross B1-CCW,1,DEFAULT
Transit Time Filter Mode,2,DEFAULT
VoS Low Limit,300,m/s
VoS High Limit,470,m/s
VoGraw Low Limit,-50,m/s
VoGraw High Limit,50,m/s
Minimum Performance,10,%
TransitTime Std. Deviation High Limit,10000,DEFAULT
VMod Timing Constant B1CW,13000,DEFAULT
VMod Timing Constant D-RT,13000,DEFAULT
VMod Timing Constant D-LT,13000,DEFAULT
VMod Timing Constant A1,13000,DEFAULT
VMod Timing Constant A2,13000,DEFAULT
VMod Timing Constant D-RB,13000,DEFAULT
VMod Timing Constant D-LB,13000,DEFAULT
VMod Timing Constant B1-CCW,13000,DEFAULT
SNR Limit,5,DEFAULT
