Time,MeasSampleRate,ValidSamples B1CW,ValidSamples D-RT,ValidSamples D-LT,ValidSamples A1,ValidSamples A2,ValidSamples D-RB,ValidSamples D-LB,ValidSamples B1CCW,MeasAGCLevel B1CW_A,MeasAGCLevel B1CW_B,MeasAGCLevel D-RT_A,MeasAGCLevel D-RT_B,MeasAGCLevel D-LT_A,MeasAGCLevel D-LT_B,MeasAGCLevel A1_A,MeasAGCLevel A1_B,MeasAGCLevel A2_A,MeasAGCLevel A2_B,MeasAGCLevel D-RB_A,MeasAGCLevel D-RB_B,MeasAGCLevel D-LB_A,MeasAGCLevel D-LB_B,MeasAGCLevel B1CCW_A,MeasAGCLevel B1CCW_B,SNR B1CW_A,SNR B1CW_B,SNR D-RT_A,SNR D-RT_B,SNR D-LT_A,SNR D-LT_B,SNR A1_A,SNR A1_B,SNR A2_A,SNR A2_B,SNR D-RB_A,SNR D-RB_B,SNR D-LB_A,SNR D-LB_B,SNR B1CCW_A,SNR B1CCW_B,MeasVOS[m/s],MeasVLine[m/s],MeasPressure[bar-a],MeasTemperature[°C],MeasQLine[m³/hr],MeasQBase,MeasStability,MeasPathVOS B1CW[m/s],MeasPathVOS D-RT[m/s],MeasPathVOS D-LT[m/s],MeasPathVOS A1[m/s],MeasPathVOS A2[m/s],MeasPathVOS D-RB[m/s],MeasPathVOS D-LB[m/s],MeasPathVOS B1CCW[m/s],MeasPathVOG B1CW[m/s],MeasPathVOG D-RT[m/s],MeasPathVOG D-LT[m/s],MeasPathVOG A1[m/s],MeasPathVOG A2[m/s],MeasPathVOG D-RB[m/s],MeasPathVOG D-LB[m/s],MeasPathVOG B1CCW[m/s],METERTYPE_T,DataSequence,FwdVolume[m³],RevVolume[m³],TSpare,MeasDiagBits B1CW,MeasDiagBits D-RT,MeasDiagBits D-LT,MeasDiagBits A1,MeasDiagBits A2,MeasDiagBits D-RB,MeasDiagBits D-LB,MeasDiagBits B1CCW,MeasPathPerformance B1CW[%],MeasPathPerformance D-RT[%],MeasPathPerformance D-LT[%],MeasPathPerformance A1[%],MeasPathPerformance A2[%],MeasPathPerformance D-RB[%],MeasPathPerformance D-LB[%],MeasPathPerformance B1CCW[%],VOGRatio B1CW,VOGRatio D-RT,VOGRatio D-LT,VOGRatio A1,VOGRatio A2,VOGRatio D-RB,VOGRatio D-LB,VOGRatio B1CCW,VOSRatio B1CW,VOSRatio D-RT,VOSRatio D-LT,VOSRatio A1,VOSRatio A2,VOSRatio D-RB,VOSRatio D-LB,VOSRatio B1CCW,OperationalStatus,Swirl Angle[°],Internal Temp[°C],TransitTimeStDAB_1[s],TransitTimeStDAB_2[s],TransitTimeStDAB_3[s],TransitTimeStDAB_4[s],TransitTimeStDAB_5[s],TransitTimeStDAB_6[s],TransitTimeStDAB_7[s],TransitTimeStDAB_8[s],TransitTimeStDBA_1[s],TransitTimeStDBA_2[s],TransitTimeStDBA_3[s],TransitTimeStDBA_4[s],TransitTimeStDBA_5[s],TransitTimeStDBA_6[s],TransitTimeStDBA_7[s],TransitTimeStDBA_8[s],DSPSampleRate_1[s],DSPSampleRate_2[s],DSPSampleRate_3[s],DSPSampleRate_4[s],DSPSampleRate_5[s],DSPSampleRate_6[s],DSPSampleRate_7[s],DSPSampleRate_8[s],TTimeAB_1[s],TTimeAB_2[s],TTimeAB_3[s],TTimeAB_4[s],TTimeAB_5[s],TTimeAB_6[s],TTimeAB_7[s],TTimeAB_8[s],TTimeBA_1[s],TTimeBA_2[s],TTimeBA_3[s],TTimeBA_4[s],TTimeBA_5[s],TTimeBA_6[s],TTimeBA_7[s],TTimeBA_8[s],Density[kg/m²],Viscosity[Pa s]
6/20/2019 10:49:42 AM,50.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.730000,20.750000,26.710000,25.130000,25.880000,23.760000,28.840000,27.480000,25.360000,22.460000,23.730000,22.650000,20.240000,16.280000,21.120000,18.470000,349.732300,0.002012,4.121928,20.000000,0.205332,0.000000,0.000000,352.664001,348.405579,348.130035,349.917572,349.922089,347.773010,348.233948,352.812225,-0.007100,0.009757,-0.013104,-0.000950,0.011062,-0.004961,0.012225,0.005038,68.000000,2216.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-2.606333,30.878506,-3.658496,-0.514544,85.456207,-2.051399,-332.920654,5.089439,1.009592,0.995667,0.994768,1.000605,1.000620,0.993603,0.995107,1.010077,16.000000,0.000000,-125.655027,4.000000,0.000000,1.000000,1.000000,2.000000,1.000000,2.000000,3.000000,4.000000,0.000000,1.000000,1.000000,3.000000,2.000000,4.000000,5.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:43 AM,50.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,19.930000,20.380000,26.500000,25.230000,26.040000,23.110000,30.270000,26.380000,24.040000,23.710000,24.190000,23.180000,20.730000,16.470000,20.290000,19.320000,349.732422,0.000451,4.121928,20.000000,0.046008,0.000000,0.000000,352.661560,348.403992,348.134094,349.916992,349.920898,347.769745,348.240540,352.811584,-0.008343,0.011181,-0.020937,-0.000831,0.007288,-0.001757,0.015026,-0.001112,68.000000,2217.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-6.593069,-7.337947,-6.831976,-4.321616,-7.532204,-5.413215,-7.248389,-4.784991,1.009583,0.995661,0.994780,1.000603,1.000616,0.993592,0.995128,1.010075,16.000000,0.000000,-125.655027,5.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,4.000000,4.000000,0.000000,1.000000,1.000000,4.000000,2.000000,2.000000,4.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:44 AM,50.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.680000,20.860000,26.390000,25.330000,25.850000,23.810000,30.110000,27.630000,23.810000,21.830000,24.060000,22.770000,20.310000,16.950000,20.230000,19.590000,349.731293,0.001155,4.121928,20.000000,0.117905,0.000000,0.000000,352.665466,348.403809,348.134125,349.915222,349.917450,347.770935,348.234253,352.808838,-0.003926,0.011133,-0.021602,0.002160,0.004036,-0.000878,0.017780,-0.000523,68.000000,2218.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-2.270255,-26.382370,-5.077474,2.512218,6.817108,-0.678791,-12.963632,-0.421049,1.009600,0.995664,0.994784,1.000601,1.000608,0.993599,0.995111,1.010069,16.000000,0.000000,-125.655027,5.000000,1.000000,1.000000,1.000000,2.000000,1.000000,2.000000,2.000000,4.000000,0.000000,1.000000,1.000000,1.000000,2.000000,3.000000,4.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:45 AM,50.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.500000,19.170000,26.670000,25.240000,25.270000,23.100000,29.750000,27.520000,23.190000,21.870000,24.470000,23.540000,20.450000,16.230000,21.610000,19.910000,349.733215,0.002105,4.121928,20.000000,0.214828,0.000000,0.000000,352.663788,348.406128,348.134949,349.916901,349.919312,347.771942,348.242126,352.810516,0.002290,0.010848,-0.022623,0.001424,0.009851,-0.006267,0.013127,0.000785,68.000000,2219.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,2.243051,-53.813183,-4.939456,1.244247,-166.509964,-2.793424,-24.902473,0.635275,1.009588,0.995666,0.994781,1.000600,1.000608,0.993596,0.995130,1.010069,16.000000,0.000000,-125.655027,3.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,3.000000,3.000000,1.000000,2.000000,0.000000,2.000000,2.000000,3.000000,4.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,15.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:46 AM,50.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.220000,21.080000,26.670000,25.680000,26.140000,23.360000,30.010000,27.580000,24.080000,22.270000,24.510000,23.160000,20.250000,16.290000,19.360000,19.430000,349.730927,0.001123,4.121928,20.000000,0.114646,0.000000,0.000000,352.662720,348.404297,348.132507,349.917847,349.913940,347.771667,348.238281,352.806061,-0.007296,0.011608,-0.021460,-0.001068,0.009044,-0.000973,0.006576,0.008572,68.000000,2220.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-4.152542,-12.301929,-5.676604,-1.231667,-15.665287,-1.140015,-29.268356,-16.812471,1.009592,0.995667,0.994780,1.000611,1.000598,0.993603,0.995125,1.010062,16.000000,0.000000,-125.655027,3.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,4.000000,5.000000,0.000000,1.000000,1.000000,4.000000,2.000000,3.000000,5.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,14.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:47 AM,50.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,19.730000,20.180000,27.260000,25.220000,25.730000,23.460000,29.820000,27.680000,24.140000,22.510000,23.810000,23.550000,20.180000,16.430000,21.470000,19.170000,349.731750,-0.000895,4.113674,20.000000,-0.091361,0.000000,0.000000,352.659698,348.403168,348.130432,349.916504,349.920044,347.772034,348.244263,352.807739,-0.002683,0.009021,-0.023003,0.001163,0.000641,-0.005151,0.003347,0.004090,68.000000,2221.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,1.898399,-2.923925,-15.441745,-0.592671,-0.339479,4.857130,-1.471517,-1.717842,1.009579,0.995661,0.994771,1.000604,1.000615,0.993601,0.995142,1.010064,16.000000,0.000000,-125.655027,4.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,4.000000,3.000000,0.000000,2.000000,1.000000,3.000000,1.000000,2.000000,5.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,15.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:48 AM,50.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.640000,20.120000,26.410000,25.090000,25.390000,23.960000,31.230000,28.170000,24.660000,23.550000,23.990000,22.750000,20.190000,16.370000,20.910000,19.690000,349.731323,0.000046,4.113674,20.000000,0.004718,0.000000,0.000000,352.662109,348.405457,348.130310,349.915344,349.923035,347.769318,348.234772,352.810089,-0.007427,0.008997,-0.020035,-0.002350,0.001662,-0.001994,0.017994,0.004842,68.000000,2222.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-5.703468,-8.616992,-6.455985,-4.073597,437.525391,-3.790615,-7.724784,-10.747156,1.009589,0.995670,0.994772,1.000601,1.000627,0.993594,0.995113,1.010074,16.000000,0.000000,-125.655027,3.000000,1.000000,1.000000,1.000000,3.000000,1.000000,1.000000,3.000000,5.000000,0.000000,1.000000,1.000000,3.000000,1.000000,2.000000,5.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,15.000000,14.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:49 AM,50.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,22.390000,21.170000,26.490000,25.180000,24.980000,23.090000,29.520000,27.520000,25.210000,22.750000,24.190000,23.720000,20.430000,16.400000,20.350000,20.500000,349.732513,0.000816,4.113674,20.000000,0.083294,0.000000,0.000000,352.663300,348.406494,348.132629,349.919189,349.918335,347.769836,348.237976,352.812317,-0.000916,0.011584,-0.019584,-0.001733,0.011300,-0.007359,0.006148,-0.000065,68.000000,2223.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-22.063148,-6.641433,-7.230923,-10.953159,-6.632868,-7.650187,-6.353672,0.817929,1.009589,0.995669,0.994775,1.000610,1.000607,0.993591,0.995119,1.010077,16.000000,0.000000,-125.655027,4.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,3.000000,3.000000,0.000000,1.000000,1.000000,4.000000,1.000000,2.000000,6.000000,15.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,15.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:50 AM,50.000000,14.000000,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,19.140000,20.750000,26.350000,25.760000,25.680000,23.380000,29.930000,27.240000,22.880000,23.990000,23.540000,22.590000,20.130000,16.820000,20.360000,19.020000,349.731049,0.002596,4.113674,20.000000,0.264952,0.000000,0.000000,352.658936,348.404785,348.136536,349.916321,349.913391,347.773987,348.236206,352.808411,0.008637,0.008759,-0.023715,0.001757,0.009353,-0.009377,0.015216,0.003304,68.000000,2224.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,11.411090,11.845715,-4.409057,1.009641,14.286190,-2.815529,-83.175072,2.175735,1.009579,0.995668,0.994793,1.000605,1.000596,0.993610,0.995118,1.010069,16.000000,0.000000,-125.655027,4.000000,0.000000,1.000000,1.000000,2.000000,1.000000,2.000000,3.000000,5.000000,0.000000,2.000000,1.000000,3.000000,2.000000,2.000000,5.000000,14.000000,14.000000,14.000000,14.000000,15.000000,15.000000,15.000000,14.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
6/20/2019 10:49:51 AM,50.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.680000,20.010000,26.210000,25.190000,26.380000,23.380000,30.330000,27.080000,24.780000,22.820000,24.310000,22.810000,20.320000,16.090000,21.880000,19.250000,349.731506,0.001153,4.113674,20.000000,0.117699,0.000000,0.000000,352.660919,348.403961,348.128723,349.915558,349.920166,347.770538,348.240234,352.811951,0.001309,0.008356,-0.018469,0.000095,0.005009,-0.006457,0.012961,0.004613,68.000000,2225.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,1.499646,-62.315727,-4.994226,0.090774,14.557548,-3.257711,-16.365463,11.515471,1.009584,0.995664,0.994766,1.000601,1.000617,0.993597,0.995130,1.010079,16.000000,0.000000,-125.655027,4.000000,1.000000,2.000000,1.000000,2.000000,1.000000,1.000000,2.000000,3.000000,0.000000,1.000000,1.000000,3.000000,1.000000,3.000000,5.000000,15.000000,15.000000,15.000000,14.000000,14.000000,14.000000,14.000000,15.000000,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,0.001582,0.000503,0.000504,0.000709,0.000709,0.000504,0.000504,0.001582,55.000000,0.000013
