Time,MeasSampleRate,ValidSamples B1CW,ValidSamples D-RT,ValidSamples D-LT,ValidSamples A1,ValidSamples A2,ValidSamples D-RB,ValidSamples D-LB,ValidSamples B1CCW,MeasAGCLevel B1CW_A,MeasAGCLevel B1CW_B,MeasAGCLevel D-RT_A,MeasAGCLevel D-RT_B,MeasAGCLevel D-LT_A,MeasAGCLevel D-LT_B,MeasAGCLevel A1_A,MeasAGCLevel A1_B,MeasAGCLevel A2_A,MeasAGCLevel A2_B,MeasAGCLevel D-RB_A,MeasAGCLevel D-RB_B,MeasAGCLevel D-LB_A,MeasAGCLevel D-LB_B,MeasAGCLevel B1CCW_A,MeasAGCLevel B1CCW_B,SNR B1CW_A,SNR B1CW_B,SNR D-RT_A,SNR D-RT_B,SNR D-LT_A,SNR D-LT_B,SNR A1_A,SNR A1_B,SNR A2_A,SNR A2_B,SNR D-RB_A,SNR D-RB_B,SNR D-LB_A,SNR D-LB_B,SNR B1CCW_A,SNR B1CCW_B,MeasVOS[m/s],MeasVLine[m/s],MeasPressure[bar-a],MeasTemperature[°C],MeasQLine[m³/hr],MeasQBase,MeasStability,MeasPathVOS B1CW[m/s],MeasPathVOS D-RT[m/s],MeasPathVOS D-LT[m/s],MeasPathVOS A1[m/s],MeasPathVOS A2[m/s],MeasPathVOS D-RB[m/s],MeasPathVOS D-LB[m/s],MeasPathVOS B1CCW[m/s],MeasPathVOG B1CW[m/s],MeasPathVOG D-RT[m/s],MeasPathVOG D-LT[m/s],MeasPathVOG A1[m/s],MeasPathVOG A2[m/s],MeasPathVOG D-RB[m/s],MeasPathVOG D-LB[m/s],MeasPathVOG B1CCW[m/s],METERTYPE_T,DataSequence,FwdVolume[m³],RevVolume[m³],TSpare,MeasDiagBits B1CW,MeasDiagBits D-RT,MeasDiagBits D-LT,MeasDiagBits A1,MeasDiagBits A2,MeasDiagBits D-RB,MeasDiagBits D-LB,MeasDiagBits B1CCW,MeasPathPerformance B1CW[%],MeasPathPerformance D-RT[%],MeasPathPerformance D-LT[%],MeasPathPerformance A1[%],MeasPathPerformance A2[%],MeasPathPerformance D-RB[%],MeasPathPerformance D-LB[%],MeasPathPerformance B1CCW[%],VOGRatio B1CW,VOGRatio D-RT,VOGRatio D-LT,VOGRatio A1,VOGRatio A2,VOGRatio D-RB,VOGRatio D-LB,VOGRatio B1CCW,VOSRatio B1CW,VOSRatio D-RT,VOSRatio D-LT,VOSRatio A1,VOSRatio A2,VOSRatio D-RB,VOSRatio D-LB,VOSRatio B1CCW,OperationalStatus,Swirl Angle[°],Internal Temp[°C],TransitTimeStDAB_1[s],TransitTimeStDAB_2[s],TransitTimeStDAB_3[s],TransitTimeStDAB_4[s],TransitTimeStDAB_5[s],TransitTimeStDAB_6[s],TransitTimeStDAB_7[s],TransitTimeStDAB_8[s],TransitTimeStDBA_1[s],TransitTimeStDBA_2[s],TransitTimeStDBA_3[s],TransitTimeStDBA_4[s],TransitTimeStDBA_5[s],TransitTimeStDBA_6[s],TransitTimeStDBA_7[s],TransitTimeStDBA_8[s],DSPSampleRate_1[s],DSPSampleRate_2[s],DSPSampleRate_3[s],DSPSampleRate_4[s],DSPSampleRate_5[s],DSPSampleRate_6[s],DSPSampleRate_7[s],DSPSampleRate_8[s],TTimeAB_1[s],TTimeAB_2[s],TTimeAB_3[s],TTimeAB_4[s],TTimeAB_5[s],TTimeAB_6[s],TTimeAB_7[s],TTimeAB_8[s],TTimeBA_1[s],TTimeBA_2[s],TTimeBA_3[s],TTimeBA_4[s],TTimeBA_5[s],TTimeBA_6[s],TTimeBA_7[s],TTimeBA_8[s],Density[kg/m²],Viscosity[Pa s]
6/20/2019 12:13:58 PM,50.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.990000,21.030000,25.550000,26.070000,23.280000,21.740000,26.910000,29.130000,25.820000,22.160000,23.650000,22.850000,20.500000,18.190000,22.210000,20.330000,354.144348,0.000554,9.377026,25.157851,0.056569,0.000000,0.000000,354.145050,354.142853,354.156250,354.143066,354.136841,354.148041,354.142792,354.139771,0.002356,0.013721,-0.019750,-0.014552,0.027133,-0.005745,-0.018801,0.008605,68.000000,7206.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,93.333336,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-1.756213,-4.627738,-10.871618,-13.548809,-5.558979,31.200954,-11.184031,-3.851617,1.000002,0.999995,1.000038,0.999996,0.999976,1.000012,0.999995,0.999985,16.000000,0.000000,37.605409,4.000000,0.000000,2.000000,1.000000,2.000000,1.000000,1.000000,4.000000,4.000000,0.000000,1.000000,1.000000,4.000000,1.000000,3.000000,4.000000,15.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:13:59 PM,50.000000,14.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.090000,20.860000,25.340000,25.700000,23.870000,21.050000,26.420000,27.230000,24.480000,21.600000,24.370000,22.590000,20.570000,17.970000,22.230000,17.740000,354.143860,-0.001779,9.377026,25.157851,-0.181588,0.000000,0.000000,354.142456,354.142792,354.158112,354.141815,354.143494,354.147034,354.137329,354.137726,-0.007558,0.015572,-0.021982,-0.013673,0.021531,-0.001377,-0.015929,-0.000196,68.000000,7207.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,3.295428,-2.781951,94.434486,9.631182,-3.338697,0.433464,14.513031,0.058685,0.999996,0.999997,1.000046,0.999993,0.999999,1.000010,0.999979,0.999980,16.000000,0.000000,37.604840,5.000000,0.000000,1.000000,1.000000,2.000000,1.000000,2.000000,3.000000,4.000000,0.000000,1.000000,1.000000,2.000000,2.000000,3.000000,4.000000,14.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:14:00 PM,50.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.890000,21.570000,25.060000,25.620000,23.020000,21.970000,27.640000,27.400000,25.190000,20.120000,24.610000,22.050000,20.500000,17.810000,21.110000,18.890000,354.143127,-0.000397,9.377026,25.157851,-0.040537,0.000000,0.000000,354.144165,354.144775,354.152985,354.140869,354.140198,354.145569,354.135132,354.141479,-0.001538,0.013175,-0.024308,-0.016190,0.027560,-0.002469,-0.013175,0.001701,68.000000,7208.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.785401,-3.245319,-18.769745,-119.675514,-4.507215,1.352886,44.599384,-0.702846,1.000003,1.000005,1.000032,0.999993,0.999991,1.000008,0.999974,0.999995,16.000000,0.000000,37.606230,5.000000,1.000000,1.000000,1.000000,2.000000,0.000000,1.000000,4.000000,5.000000,0.000000,1.000000,1.000000,3.000000,2.000000,3.000000,4.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,15.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:14:01 PM,50.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.700000,21.640000,25.140000,26.100000,23.910000,21.360000,27.670000,27.350000,23.700000,22.410000,24.140000,22.350000,20.360000,18.610000,21.330000,18.800000,354.142059,0.000534,9.377026,25.157851,0.054463,0.000000,0.000000,354.142120,354.143738,354.150879,354.141113,354.139771,354.146973,354.134216,354.137451,0.005235,0.014931,-0.030077,-0.014029,0.029032,-0.008214,-0.010896,0.004351,68.000000,7209.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-2.459181,-4.249266,-10.314936,-22.505573,-5.251571,39.588825,-62.001720,-2.173019,1.000000,1.000005,1.000028,0.999997,0.999993,1.000016,0.999975,0.999985,16.000000,0.000000,37.604966,5.000000,0.000000,1.000000,1.000000,3.000000,1.000000,2.000000,3.000000,4.000000,0.000000,1.000000,1.000000,3.000000,2.000000,2.000000,5.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:14:02 PM,50.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.390000,21.790000,25.140000,25.700000,24.000000,21.150000,27.150000,26.310000,24.620000,20.990000,23.650000,22.840000,20.750000,18.710000,22.820000,20.070000,354.143402,-0.002706,9.377026,25.157851,-0.276246,0.000000,0.000000,354.145294,354.142456,354.149963,354.143066,354.138245,354.146545,354.140259,354.141357,0.000000,0.014528,-0.028225,-0.013792,0.026184,-0.008308,-0.028391,-0.001407,68.000000,7210.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,-1.885344,17.661016,3.768309,-2.794159,1.869852,18.032845,0.259117,1.000006,0.999997,1.000021,0.999999,0.999983,1.000010,0.999990,0.999993,16.000000,0.000000,37.604998,5.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,4.000000,5.000000,0.000000,1.000000,1.000000,3.000000,2.000000,3.000000,4.000000,15.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:14:03 PM,50.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,21.830000,20.380000,25.030000,26.110000,24.160000,20.990000,27.220000,28.180000,24.840000,23.130000,23.330000,22.600000,20.420000,18.340000,22.210000,19.740000,354.142151,0.001096,9.377026,25.157851,0.111854,0.000000,0.000000,354.140381,354.141357,354.153931,354.141785,354.140320,354.145813,354.132507,354.141235,0.000229,0.012368,-0.022219,-0.011300,0.029649,-0.004463,-0.016403,0.004744,68.000000,7211.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-0.210281,-4.380733,-10.491747,-20.256449,-5.602658,10.655080,-12.746026,-2.735692,0.999994,0.999997,1.000038,0.999999,0.999994,1.000012,0.999969,0.999997,16.000000,0.000000,37.604998,3.000000,1.000000,1.000000,1.000000,2.000000,1.000000,1.000000,4.000000,3.000000,0.000000,1.000000,1.000000,3.000000,2.000000,2.000000,5.000000,14.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:14:04 PM,50.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,22.210000,22.110000,25.150000,25.920000,23.930000,21.730000,26.790000,27.530000,24.160000,21.000000,24.270000,21.450000,20.780000,17.650000,21.640000,18.410000,354.143951,-0.002966,9.377026,25.157851,-0.302738,0.000000,0.000000,354.142273,354.142700,354.152588,354.142365,354.143524,354.146301,354.140564,354.141296,-0.002781,0.014124,-0.025329,-0.012629,0.016664,-0.003917,-0.016380,-0.002519,68.000000,7212.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.649221,-2.108569,23.841816,4.390095,-2.359921,0.950404,6.997229,0.583028,0.999995,0.999996,1.000028,0.999995,0.999999,1.000008,0.999989,0.999991,16.000000,0.000000,37.603987,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000,5.000000,0.000000,1.000000,1.000000,4.000000,2.000000,3.000000,5.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:14:05 PM,50.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,22.010000,21.740000,25.200000,25.510000,23.430000,21.630000,26.380000,27.320000,24.890000,21.290000,24.480000,23.320000,20.350000,17.620000,22.680000,18.950000,354.143616,0.000979,9.377026,25.157851,0.099894,0.000000,0.000000,354.144653,354.142090,354.155701,354.139984,354.140076,354.145630,354.139771,354.141235,0.000622,0.014599,-0.019157,-0.012059,0.028985,-0.004107,-0.020439,0.004417,68.000000,7213.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-0.560669,-4.701051,-11.158579,-17.158247,-5.616550,9.479248,-10.757750,-2.675411,1.000003,0.999995,1.000039,0.999988,0.999989,1.000006,0.999987,0.999992,16.000000,0.000000,37.604366,5.000000,0.000000,1.000000,1.000000,3.000000,1.000000,1.000000,3.000000,3.000000,1.000000,1.000000,1.000000,3.000000,1.000000,4.000000,4.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:14:06 PM,50.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,22.390000,22.590000,25.270000,26.020000,23.490000,21.850000,27.410000,28.140000,24.810000,21.550000,23.350000,22.730000,20.930000,18.070000,21.770000,20.100000,354.142975,0.000299,9.377026,25.157851,0.030501,0.000000,0.000000,354.142151,354.142853,354.155457,354.142670,354.139282,354.148071,354.135742,354.137512,0.001996,0.014053,-0.018136,-0.013578,0.017638,-0.003585,-0.005673,0.005431,68.000000,7214.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-3.627946,-6.183764,-7.797534,-8.107595,-6.333861,-14.507687,-10.400482,-5.217842,0.999997,1.000000,1.000040,0.999999,0.999988,1.000016,0.999977,0.999982,16.000000,0.000000,37.601048,5.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,4.000000,3.000000,0.000000,1.000000,1.000000,3.000000,2.000000,2.000000,5.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,14.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
6/20/2019 12:14:07 PM,50.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,15.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,42.000000,20.850000,21.260000,25.600000,26.280000,23.730000,21.290000,28.130000,27.240000,23.160000,22.360000,23.840000,22.220000,20.970000,18.830000,22.060000,19.870000,354.142487,0.002272,9.364630,25.152311,0.231903,0.000000,0.000000,354.140778,354.141541,354.149536,354.140778,354.145630,354.147247,354.135376,354.138855,-0.002617,0.016261,-0.024807,-0.012107,0.032925,-0.007691,-0.014077,0.014003,68.000000,7215.000000,1255.000000,8143.000000,0.000000,262144.000000,0.000000,0.000000,262144.000000,262144.000000,0.000000,0.000000,262144.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,-4.064673,-7.920693,-6.504398,-6.054709,-7.426324,-5.619095,-6.171356,-8.092320,0.999994,0.999997,1.000023,0.999994,1.000010,1.000015,0.999977,0.999988,16.000000,0.000000,37.603797,5.000000,0.000000,1.000000,1.000000,2.000000,1.000000,1.000000,3.000000,4.000000,0.000000,1.000000,1.000000,4.000000,2.000000,3.000000,4.000000,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,14.000000,15.000000,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,0.001576,0.000495,0.000495,0.000700,0.000700,0.000495,0.000495,0.001576,55.000000,0.000013
