Model: ,Oscilloscope MSO6014A,
Serial Number:,MY50340123,
Address: ,GPIB0::7::INSTR,
Date: ,8/5/2016 13:38,
,,
Sample Number,Time (s),1 (VOLT)
1,-1.00E-05,6
2,-9.98E-06,6
3,-9.96E-06,0
4,-9.94E-06,0
5,-9.92E-06,10
6,-9.90E-06,22
7,-9.88E-06,31
8,-9.86E-06,20
9,-9.84E-06,1
10,-9.82E-06,-1
11,-9.80E-06,6
12,-9.78E-06,16
13,-9.76E-06,14
14,-9.74E-06,7
15,-9.72E-06,4
16,-9.70E-06,14
17,-9.68E-06,12
18,-9.66E-06,11
19,-9.64E-06,16
20,-9.62E-06,16
21,-9.60E-06,16
22,-9.58E-06,10
23,-9.56E-06,7
24,-9.54E-06,7
25,-9.52E-06,1
26,-9.50E-06,-9
27,-9.48E-06,-3
28,-9.46E-06,11
29,-9.44E-06,19
30,-9.42E-06,32
31,-9.40E-06,51
32,-9.38E-06,65
33,-9.36E-06,66
34,-9.34E-06,54
35,-9.32E-06,48
36,-9.30E-06,52
37,-9.28E-06,41
38,-9.26E-06,27
39,-9.24E-06,24
40,-9.22E-06,25
41,-9.20E-06,34
42,-9.18E-06,36
43,-9.16E-06,16
44,-9.14E-06,1
45,-9.12E-06,0
46,-9.10E-06,-11
47,-9.08E-06,-27
48,-9.06E-06,-32
49,-9.04E-06,-23
50,-9.02E-06,-25
51,-9.00E-06,-48
52,-8.98E-06,-88
53,-8.96E-06,-117
54,-8.94E-06,-94
55,-8.92E-06,-43
56,-8.90E-06,-5
57,-8.88E-06,19
58,-8.86E-06,41
59,-8.84E-06,55
60,-8.82E-06,56
61,-8.80E-06,56
62,-8.78E-06,56
63,-8.76E-06,43
64,-8.74E-06,16
65,-8.72E-06,-15
66,-8.70E-06,-27
67,-8.68E-06,-21
68,-8.66E-06,-16
69,-8.64E-06,-8
70,-8.62E-06,0
71,-8.60E-06,-4
72,-8.58E-06,-4
73,-8.56E-06,21
74,-8.54E-06,53
75,-8.52E-06,75
76,-8.50E-06,77
77,-8.48E-06,62
78,-8.46E-06,31
79,-8.44E-06,2
80,-8.42E-06,-16
81,-8.40E-06,-40
82,-8.38E-06,-61
83,-8.36E-06,-69
84,-8.34E-06,-74
85,-8.32E-06,-67
86,-8.30E-06,-40
87,-8.28E-06,-3
88,-8.26E-06,39
89,-8.24E-06,79
90,-8.22E-06,102
91,-8.20E-06,109
92,-8.18E-06,152
93,-8.16E-06,179
94,-8.14E-06,150
95,-8.12E-06,77
96,-8.10E-06,-13
97,-8.08E-06,-115
98,-8.06E-06,-183
99,-8.04E-06,-179
100,-8.02E-06,-139
101,-8.00E-06,-95
102,-7.98E-06,-69
103,-7.96E-06,-54
104,-7.94E-06,-48
105,-7.92E-06,-45
106,-7.90E-06,-40
107,-7.88E-06,-34
108,-7.86E-06,1
109,-7.84E-06,71
110,-7.82E-06,178
111,-7.80E-06,252
112,-7.78E-06,256
113,-7.76E-06,212
114,-7.74E-06,148
115,-7.72E-06,86
116,-7.70E-06,51
117,-7.68E-06,11
118,-7.66E-06,-63
119,-7.64E-06,-176
120,-7.62E-06,-253
121,-7.60E-06,-278
122,-7.58E-06,-257
123,-7.56E-06,-184
124,-7.54E-06,-105
125,-7.52E-06,-54
126,-7.50E-06,-16
127,-7.48E-06,33
128,-7.46E-06,77
129,-7.44E-06,122
130,-7.42E-06,180
131,-7.40E-06,245
132,-7.38E-06,309
133,-7.36E-06,321
134,-7.34E-06,276
135,-7.32E-06,211
136,-7.30E-06,140
137,-7.28E-06,60
138,-7.26E-06,-19
139,-7.24E-06,-99
140,-7.22E-06,-162
141,-7.20E-06,-195
142,-7.18E-06,-200
143,-7.16E-06,-170
144,-7.14E-06,-121
145,-7.12E-06,-90
146,-7.10E-06,-91
147,-7.08E-06,-89
148,-7.06E-06,-56
149,-7.04E-06,-4
150,-7.02E-06,30
151,-7.00E-06,39
152,-6.98E-06,40
153,-6.96E-06,54
154,-6.94E-06,85
155,-6.92E-06,112
156,-6.90E-06,115
157,-6.88E-06,104
158,-6.86E-06,90
159,-6.84E-06,72
160,-6.82E-06,44
161,-6.80E-06,20
162,-6.78E-06,8
163,-6.76E-06,2
164,-6.74E-06,-16
165,-6.72E-06,-41
166,-6.70E-06,-73
167,-6.68E-06,-108
168,-6.66E-06,-131
169,-6.64E-06,-136
170,-6.62E-06,-136
171,-6.60E-06,-128
172,-6.58E-06,-113
173,-6.56E-06,-88
174,-6.54E-06,-41
175,-6.52E-06,31
176,-6.50E-06,128
177,-6.48E-06,202
178,-6.46E-06,219
179,-6.44E-06,199
180,-6.42E-06,167
181,-6.40E-06,132
182,-6.38E-06,101
183,-6.36E-06,66
184,-6.34E-06,12
185,-6.32E-06,-51
186,-6.30E-06,-105
187,-6.28E-06,-158
188,-6.26E-06,-182
189,-6.24E-06,-166
190,-6.22E-06,-136
191,-6.20E-06,-114
192,-6.18E-06,-100
193,-6.16E-06,-61
194,-6.14E-06,8
195,-6.12E-06,87
196,-6.10E-06,154
197,-6.08E-06,195
198,-6.06E-06,216
199,-6.04E-06,232
200,-6.02E-06,226
201,-6.00E-06,204
202,-5.98E-06,158
203,-5.96E-06,92
204,-5.94E-06,41
205,-5.92E-06,2
206,-5.90E-06,-36
207,-5.88E-06,-60
208,-5.86E-06,-106
209,-5.84E-06,-157
210,-5.82E-06,-193
211,-5.80E-06,-185
212,-5.78E-06,-146
213,-5.76E-06,-85
214,-5.74E-06,-37
215,-5.72E-06,2
216,-5.70E-06,37
217,-5.68E-06,71
218,-5.66E-06,121
219,-5.64E-06,171
220,-5.62E-06,192
221,-5.60E-06,173
222,-5.58E-06,117
223,-5.56E-06,45
224,-5.54E-06,6
225,-5.52E-06,-17
226,-5.50E-06,-52
227,-5.48E-06,-86
228,-5.46E-06,-127
229,-5.44E-06,-140
230,-5.42E-06,-116
231,-5.40E-06,-84
232,-5.38E-06,-49
233,-5.36E-06,-5
234,-5.34E-06,22
235,-5.32E-06,37
236,-5.30E-06,45
237,-5.28E-06,60
238,-5.26E-06,84
239,-5.24E-06,85
240,-5.22E-06,63
241,-5.20E-06,49
242,-5.18E-06,50
243,-5.16E-06,43
244,-5.14E-06,25
245,-5.12E-06,8
246,-5.10E-06,-8
247,-5.08E-06,-14
248,-5.06E-06,-21
249,-5.04E-06,-39
250,-5.02E-06,-47
251,-5.00E-06,-46
252,-4.98E-06,-29
253,-4.96E-06,0
254,-4.94E-06,16
255,-4.92E-06,13
256,-4.90E-06,6
257,-4.88E-06,-3
